Category,Screen,Event Name,Trigger,Properties,Event Type,Purpose
Phase 2,Screen 5: KYC Documents,doc_upload_started,User initiates upload,"doc_type, upload_source, substage",User Action,Upload method preference
Phase 2,Screen 5: KYC Documents,doc_upload_source_selected,Camera/gallery chosen,"doc_type, upload_source",User Action,Source preference
Phase 2,Screen 5: KYC Documents,doc_upload_photo_captured,Photo taken or selected,"doc_type, upload_source",User Action,Capture success
Phase 2,Screen 5: KYC Documents,doc_upload_photo_retaken,User retakes photo,"doc_type, retake_count",User Action,Quality issues
Phase 2,Screen 5: KYC Documents,doc_upload_completed,Upload finishes successfully,"doc_type, upload_source, upload_time_sec, file_size_kb",System,Upload success rate
Phase 2,Screen 5: KYC Documents,doc_upload_failed,Upload fails,"doc_type, error_reason",System,Upload failure rate
Phase 2,Screen 5: KYC Documents,doc_upload_removed,User removes uploaded doc,doc_type,User Action,Re-upload rate
Phase 2,Screen 5: KYC Documents,view_sample_doc_tapped,User taps View sample document,"doc_type, substage",User Action,Sample doc usage
Phase 2,Screen 6: Bank Details,bank_field_filled,Bank field completed,"field_name, is_valid",User Action,Field completion
Phase 2,Screen 6: Bank Details,bank_account_masked,Account number masked on blur,,System,UX confirmation
Phase 2,Screen 6: Bank Details,bank_account_mismatch,Re-enter doesnt match,attempt_count,System,Mismatch frequency
Phase 2,Screen 6: Bank Details,bank_ifsc_validated,IFSC validated,"is_valid, ifsc_code",System,IFSC validation
Phase 2,Screen 6: Bank Details,add_bank_document_tapped,CTA Add Bank Document tapped,all_fields_valid,User Action,Bank screen completion
Phase 2,Screen 6: Bank Details,bank_dedup_checked,Dedup check triggered,,System,Dedup check rate
Phase 2,Screen 6: Bank Details,bank_dedup_clear,No dedup found,,System,Clear rate
Phase 2,Screen 6: Bank Details,bank_dedup_found,Dedup match found,,System,Dedup hit rate
Phase 2,Screen 6: Bank Details,bank_dedup_change_tapped,User taps Change Bank Details on dedup bottom sheet,,User Action,Resolution behavior
Phase 2,Screen 6: Bank Details,bank_doc_upload_started,Bank document upload initiated,"doc_subtype, upload_source",User Action,Doc type preference
Phase 2,Screen 6: Bank Details,bank_doc_upload_completed,Bank document uploaded,"doc_subtype, upload_source, upload_time_sec",User Action,Upload success
Phase 2,Screen 6: Bank Details,bank_doc_view_sample_tapped,User views sample bank doc,,User Action,Sample usage
Phase 2,Screen 6: Bank Details,bank_doc_type_selected,User selects bank doc type from 3 options,doc_subtype,User Action,Doc type preference
Phase 2,Screen 6: Bank Details,bank_doc_upload_failed,Bank document upload fails,"doc_subtype, error_reason",System,Upload failure tracking
Phase 2,Screen 6: Bank Details,bank_doc_submitted,Bank document screen completed and proceeds to ISP,"doc_subtype, upload_time_sec",User Action,Screen completion
Phase 2,Screen 7: ISP Agreement,isp_upload_started,Upload initiated,upload_method,User Action,Method preference
Phase 2,Screen 7: ISP Agreement,isp_page_added,Each page captured/selected,"page_number, upload_method",User Action,Multi-page tracking
Phase 2,Screen 7: ISP Agreement,isp_page_removed,Page removed,page_number,User Action,Re-upload
Phase 2,Screen 7: ISP Agreement,isp_upload_completed,ISP agreement upload done,"total_pages, upload_method, total_time_sec",User Action,Completion tracking
Phase 2,Screen 7: ISP Agreement,isp_view_sample_tapped,User views sample ISP doc,,User Action,Sample usage
Phase 2,Screen 7: ISP Agreement,isp_checklist_viewed,Mandatory checklist viewed,,User Action,Checklist engagement
Phase 2,Screen 7: ISP Agreement,isp_submitted,CTA tapped to proceed,total_pages,User Action,Screen completion
Phase 2,Screen 8: Shop & Equipment Photos,shop_photo_uploaded,Shop front photo uploaded,"upload_source, upload_time_sec",User Action,Shop photo completion
Phase 2,Screen 8: Shop & Equipment Photos,shop_photo_removed,Shop photo removed,,User Action,Re-upload
Phase 2,Screen 8: Shop & Equipment Photos,shop_photo_retaken,Shop photo retaken,retake_count,User Action,Quality issues
Phase 2,Screen 8: Shop & Equipment Photos,equipment_photo_uploaded,Equipment photo added,"photo_index, upload_source, total_photos",User Action,Equipment tracking
Phase 2,Screen 8: Shop & Equipment Photos,equipment_photo_removed,Equipment photo removed,photo_index,User Action,Re-upload
Phase 2,Screen 8: Shop & Equipment Photos,shop_view_sample_tapped,Sample shop photo viewed,,User Action,Sample usage
Phase 2,Screen 8: Shop & Equipment Photos,equipment_view_sample_tapped,Sample equipment photo viewed,,User Action,Sample usage
Phase 2,Screen 8: Shop & Equipment Photos,photos_submitted,CTA Submit for Verification tapped,"shop_photo_count, equipment_photo_count, total_time_sec",User Action,Screen completion
Phase 2,Screen 8: Shop & Equipment Photos,equipment_photo_retaken,Equipment photo retaken,"photo_index, retake_count",User Action,Quality issues
Phase 2,Screen 8: Shop & Equipment Photos,shop_photo_upload_failed,Shop photo upload fails,error_reason,System,Upload failure rate
Phase 2,Screen 8: Shop & Equipment Photos,equipment_photo_upload_failed,Equipment photo upload fails,"photo_index, error_reason",System,Upload failure rate
Phase 2,Screen 9: Verification Status,verification_submitted,All docs submitted and verification pending,"total_docs_count, time_since_reg_fee_hrs",System,Submission tracking
Phase 2,Screen 9: Verification Status,verification_status_checked,User opens/refreshes verification screen,"current_status, days_since_submission",User Action,Status check frequency
Phase 2,Screen 9: Verification Status,verification_approved,QA team approves,"review_time_hrs, reviewer_id",System,Approval rate and TAT
Phase 2,Screen 9: Verification Status,verification_rejected,QA team rejects,"rejection_reason, review_time_hrs, reviewer_id",System,Rejection rate and reasons
Phase 2,Screen 9: Verification Status,refund_initiated,Auto-refund triggered after rejection,"amount, refund_method",System,Refund tracking
Phase 2,Screen 9: Verification Status,refund_status_viewed,User checks refund status,"refund_status, days_since_rejection",User Action,Refund monitoring
Phase 2,Screen 9: Verification Status,refund_completed,Refund successfully processed,"amount, days_to_refund",System,Refund TAT
Phase 2,Screen 9: Verification Status,refund_failed,Refund processing failed,"amount, error_reason",System,Refund failure rate
Phase 3,Screen 10: Technical Assessment,tech_assessment_pending,Assessment screen shown,days_since_verification_approved,System,Wait time tracking
Phase 3,Screen 10: Technical Assessment,tech_assessment_status_checked,User refreshes/revisits,"current_status, days_since_start",User Action,Check frequency
Phase 3,Screen 10: Technical Assessment,tech_assessment_passed,Network Quality team approves,"assessment_time_days, assessor_id",System,Pass rate and TAT
Phase 3,Screen 10: Technical Assessment,tech_assessment_rejected,Network Quality team rejects,"rejection_reason, assessment_time_days",System,Rejection rate and reasons
Phase 3,Screen 10: Technical Assessment,tech_assessment_talk_to_us_tapped,User taps Talk to Us after rejection,,User Action,Support escalation
Phase 3,Screen 10: Technical Assessment,tech_assessment_no_refund_shown,No refund messaging displayed after rejection,,System,User reaction to no-refund messaging
Phase 3,Screen 11: Policy & SLA,policy_screen_viewed,Policy & SLA screen shown,time_since_tech_assessment_passed_hrs,System,Time between stages
Phase 3,Screen 11: Policy & SLA,policy_content_scrolled,User scrolls policy content,scroll_depth_percent,User Action,Content engagement
Phase 3,Screen 11: Policy & SLA,policy_commission_viewed,Commission section visible,,User Action,Section visibility
Phase 3,Screen 11: Policy & SLA,policy_sla_viewed,SLA section visible,,User Action,Section visibility
Phase 3,Screen 11: Policy & SLA,policy_accepted,CTA Understood proceed tapped,"time_on_screen_sec, scroll_depth_percent",User Action,Acceptance rate and read time
Phase 3,Screen 12: Onboarding Fee,onboarding_fee_screen_viewed,Screen shown,"reg_fee_paid_date, days_since_reg_fee",System,Time between payments
Phase 3,Screen 12: Onboarding Fee,investment_summary_viewed,Investment breakdown visible,,User Action,Engagement
Phase 3,Screen 12: Onboarding Fee,payment_initiated,User taps Pay Rs.20000 Now,"amount, fee_type",User Action,Payment funnel
Phase 3,Screen 12: Onboarding Fee,payment_completed,Payment succeeds,"amount, fee_type, payment_method, transaction_id, time_to_complete_sec",System,Success rate
Phase 3,Screen 12: Onboarding Fee,payment_failed,Payment declined,"amount, fee_type, error_code, error_type, retry_count",System,Failure analysis
Phase 3,Screen 12: Onboarding Fee,payment_retry_tapped,User retries,"amount, fee_type, retry_count",User Action,Retry behavior
Phase 3,Screen 12: Onboarding Fee,payment_processing,Payment processing begins,"amount, fee_type, payment_method",System,Processing state tracking
Phase 3,Screen 12: Onboarding Fee,payment_refresh_tapped,User taps Refresh Status on timeout,"amount, fee_type",User Action,Timeout refresh tracking
Phase 3,Screen 13: Account Setup,account_setup_started,Setup screen shown,business_name,System,Setup tracking
Phase 3,Screen 13: Account Setup,account_setup_completed,Auto-progress after 3s,"setup_time_sec, business_name",System,Success rate
Phase 3,Screen 13: Account Setup,account_setup_failed,Setup fails,"error_reason, retry_count",System,Failure rate
Phase 3,Screen 13: Account Setup,account_setup_retry_tapped,User taps retry,retry_count,User Action,Retry behavior
Phase 3,Screen 13: Account Setup,account_setup_pending,Setup taking longer,wait_time_sec,System,Pending rate
Phase 3,Screen 13: Account Setup,account_setup_refresh_tapped,User taps refresh,,User Action,Refresh behavior
Phase 3,Screen 14: Successfully Onboarded,onboarding_completed,Success screen shown,"total_onboarding_time_days, total_onboarding_time_hrs, partner_name, business_name, city, state",System,KEY METRIC — Overall completion
Phase 3,Screen 14: Successfully Onboarded,app_download_tapped,User taps Install Now,time_on_success_screen_sec,User Action,App download rate
Phase 3,Screen 14: Successfully Onboarded,instructions_viewed,User scrolls to instructions,scroll_depth_percent,User Action,Instruction engagement
Phase 3,Screen 14: Successfully Onboarded,app_store_redirected,User redirected to Play Store after Install Now tap,store_url,System,Actual redirect tracking
System,Backend,otp_delivery_attempted,System sends OTP,"phone_masked, delivery_method, provider",System,Delivery tracking
System,Backend,otp_delivery_confirmed,OTP delivered successfully,"phone_masked, delivery_time_ms",System,Delivery success rate
System,Backend,otp_delivery_failed,OTP delivery failed,"phone_masked, error_reason",System,Delivery failure rate
System,Backend,dedup_check_performed,Any dedup check runs,"check_type, result, screen_number",System,Dedup analysis
System,Backend,payment_gateway_called,Payment API called,"amount, fee_type, gateway, payment_method",System,Gateway performance
System,Backend,payment_gateway_response,Gateway responds,"amount, fee_type, status, response_time_ms",System,Gateway reliability
System,Backend,refund_initiated_system,Auto-refund triggered,"amount, trigger, partner_id",System,Refund tracking
System,Backend,refund_processed,Refund completed by bank,"amount, processing_time_hrs, partner_id",System,Refund TAT
System,Backend,account_provisioned,Backend account created,"services, setup_time_sec",System,Provisioning tracking
Nudge,System,nudge_sent,System sends reminder,"nudge_type, channel, days_since_last_activity",System,Nudge delivery
Nudge,System,nudge_received,Nudge delivered to device,"nudge_type, channel",System,Delivery confirmation
Nudge,System,nudge_opened,User opens/taps nudge,"nudge_type, channel, time_since_sent_min",User Action,Nudge effectiveness
Nudge,System,nudge_dismissed,User dismisses nudge,"nudge_type, channel",User Action,Dismissal rate
Nudge,System,auto_reject_triggered,Day 4 auto-rejection fires,"partner_id, days_inactive",System,Auto-rejection rate
Notification,System,notification_sent,System sends campaign notification,"campaign_id, channel, csp_id",System,Campaign delivery tracking
Notification,System,notification_delivered,Notification reaches device/WhatsApp,"campaign_id, channel, delivery_time_ms",System,Delivery confirmation
Notification,System,notification_opened,CSP taps/opens notification,"campaign_id, channel, time_since_sent_min",User Action,Open rate tracking
Notification,System,notification_action_taken,CSP performs intended action within 24hrs,"campaign_id, channel, action",User Action,Action effectiveness
Notification,System,notification_dismissed,CSP dismisses notification,"campaign_id, channel",User Action,Dismissal tracking
Notification,System,whatsapp_fallback_to_sms,WhatsApp failed and SMS sent as fallback,"campaign_id, csp_id, whatsapp_failure_reason",System,Fallback rate tracking
Dashboard,QA Review,qa_application_viewed,QA opens an application,"partner_id, reviewer_id, application_status",User Action,Review tracking
Dashboard,QA Review,qa_document_viewed,QA views a specific document,"partner_id, doc_type, reviewer_id",User Action,Document review tracking
Dashboard,QA Review,qa_decision_made,QA approves or rejects,"partner_id, decision, rejection_reason, review_time_min, reviewer_id",User Action,Decision tracking and TAT
Dashboard,QA Review,qa_decision_changed,QA changes previous decision,"partner_id, from_decision, to_decision, reviewer_id",User Action,Decision reversal tracking
Dashboard,QA Review,qa_search_performed,QA searches applications,"search_query, filter_applied, results_count",User Action,Search behavior
Dashboard,Control,admin_screen_navigated,Admin navigates to a screen,"target_screen_number, admin_id",User Action,Admin usage
Dashboard,Control,admin_scenario_triggered,Admin triggers error scenario,"scenario_name, target_screen, admin_id",User Action,Testing patterns
Dashboard,Control,admin_scenario_cleared,Admin clears scenario,"scenario_name, admin_id",User Action,Scenario management
Dashboard,Control,admin_language_changed,Admin toggles language,"to_language, admin_id",User Action,Admin language control
Dashboard,Control,admin_data_filled,Admin fills/empties form data,"mode, admin_id",User Action,Data management
Dashboard,Control,admin_app_restarted,Admin restarts app,admin_id,User Action,App restart
Dashboard,Control,admin_screenshot_taken,Admin captures screenshot,"screen_number, admin_id",User Action,Screenshot capture
Dashboard,Control,admin_state_reset,Admin resets app state,admin_id,User Action,State reset tracking
Dashboard,Control,admin_state_dumped,Admin dumps app state to file,"admin_id, dump_status",User Action,State dump tracking
Dashboard,Control,admin_state_read,Admin reads app state file,admin_id,User Action,State read tracking
